=== ЭКСПОРТ ДКП | 10.06.2026 22:21:05 ===
Диапазон мест: с 1 по 1027
Всего игроков: 1027
========================================================================================================================

Ник: Joker不屈01 | Убийства T4: 12 977 487 | Убийства T5: 8 249 828 | Всего убийств (T4+T5): 21 227 315 | Смерти T4: 0 | Смерти T5: 518 003 | Всего смертей (T4+T5): 518 003 | Вылечено:  | ДКП: 310 311 520
Ник: janny不屈01 | Убийства T4: 393 143 | Убийства T5: 144 249 | Всего убийств (T4+T5): 537 392 | Смерти T4: 295 131 | Смерти T5: 0 | Всего смертей (T4+T5): 295 131 | Вылечено:  | ДКП: 15 670 340
Ник: SmokCat不屈01 | Убийства T4: 542 759 | Убийства T5: 175 688 | Всего убийств (T4+T5): 718 447 | Смерти T4: 220 289 | Смерти T5: 0 | Всего смертей (T4+T5): 220 289 | Вылечено:  | ДКП: 15 550 020
Ник: TJUN不屈01 | Убийства T4: 1 391 890 | Убийства T5: 19 840 | Всего убийств (T4+T5): 1 411 730 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 14 315 700
Ник: Kroshka不屈01 | Убийства T4: 369 367 | Убийства T5: 244 143 | Всего убийств (T4+T5): 613 510 | Смерти T4: 183 029 | Смерти T5: 0 | Всего смертей (T4+T5): 183 029 | Вылечено:  | ДКП: 14 067 400
Ник: Refally不屈01 | Убийства T4: 667 076 | Убийства T5: 228 671 | Всего убийств (T4+T5): 895 747 | Смерти T4: 75 790 | Смерти T5: 0 | Всего смертей (T4+T5): 75 790 | Вылечено:  | ДКП: 13 517 880
Ник: Arcona不屈01 | Убийства T4: 373 666 | Убийства T5: 149 026 | Всего убийств (T4+T5): 522 692 | Смерти T4: 155 606 | Смерти T5: 8 387 | Всего смертей (T4+T5): 163 993 | Вылечено:  | ДКП: 11 636 970
Ник: 阴阳 GØD | Убийства T4: 401 164 | Убийства T5: 0 | Всего убийств (T4+T5): 401 164 | Смерти T4: 235 521 | Смерти T5: 0 | Всего смертей (T4+T5): 235 521 | Вылечено:  | ДКП: 11 077 270
Ник: ẮIS 不屈01 | Убийства T4: 573 662 | Убийства T5: 205 802 | Всего убийств (T4+T5): 779 464 | Смерти T4: 39 520 | Смерти T5: 0 | Всего смертей (T4+T5): 39 520 | Вылечено:  | ДКП: 11 038 260
Ник: MÖ ÄLÏ 屈01 | Убийства T4: 259 321 | Убийства T5: 92 637 | Всего убийств (T4+T5): 351 958 | Смерти T4: 191 669 | Смерти T5: 0 | Всего смертей (T4+T5): 191 669 | Вылечено:  | ДКП: 10 196 020
Ник: Nоx不屈01 | Убийства T4: 336 982 | Убийства T5: 88 638 | Всего убийств (T4+T5): 425 620 | Смерти T4: 112 911 | Смерти T5: 46 915 | Всего смертей (T4+T5): 159 826 | Вылечено:  | ДКП: 9 937 360
Ник: MARSHO 不屈01 | Убийства T4: 375 971 | Убийства T5: 238 879 | Всего убийств (T4+T5): 614 850 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 8 537 290
Ник: Sittenpitti 1 | Убийства T4: 258 180 | Убийства T5: 0 | Всего убийств (T4+T5): 258 180 | Смерти T4: 197 162 | Смерти T5: 0 | Всего смертей (T4+T5): 197 162 | Вылечено:  | ДКП: 8 496 660
Ник: Grgır不屈01 | Убийства T4: 248 314 | Убийства T5: 119 224 | Всего убийств (T4+T5): 367 538 | Смерти T4: 117 316 | Смерти T5: 0 | Всего смертей (T4+T5): 117 316 | Вылечено:  | ДКП: 8 387 100
Ник: Governor110439383 | Убийства T4: 43 346 | Убийства T5: 181 | Всего убийств (T4+T5): 43 527 | Смерти T4: 221 223 | Смерти T5: 0 | Всего смертей (T4+T5): 221 223 | Вылечено:  | ДКП: 7 073 770
Ник: Black 不屈01 | Убийства T4: 211 012 | Убийства T5: 91 822 | Всего убийств (T4+T5): 302 834 | Смерти T4: 92 816 | Смерти T5: 0 | Всего смертей (T4+T5): 92 816 | Вылечено:  | ДКП: 6 731 040
Ник: SEyübi不屈01 | Убийства T4: 277 674 | Убийства T5: 47 227 | Всего убийств (T4+T5): 324 901 | Смерти T4: 100 004 | Смерти T5: 0 | Всего смертей (T4+T5): 100 004 | Вылечено:  | ДКП: 6 721 400
Ник: Harper 不屈01 | Убийства T4: 155 768 | Убийства T5: 60 995 | Всего убийств (T4+T5): 216 763 | Смерти T4: 97 854 | Смерти T5: 0 | Всего смертей (T4+T5): 97 854 | Вылечено:  | ДКП: 5 713 200
Ник: Gⱽⁿ不屈01 | Убийства T4: 201 808 | Убийства T5: 77 671 | Всего убийств (T4+T5): 279 479 | Смерти T4: 59 288 | Смерти T5: 0 | Всего смертей (T4+T5): 59 288 | Вылечено:  | ДКП: 5 350 140
Ник: Orhan 不屈01 | Убийства T4: 121 651 | Убийства T5: 59 148 | Всего убийств (T4+T5): 180 799 | Смерти T4: 83 304 | Смерти T5: 0 | Всего смертей (T4+T5): 83 304 | Вылечено:  | ДКП: 4 898 590
Ник: ʟucid不屈01 | Убийства T4: 88 510 | Убийства T5: 131 345 | Всего убийств (T4+T5): 219 855 | Смерти T4: 45 963 | Смерти T5: 0 | Всего смертей (T4+T5): 45 963 | Вылечено:  | ДКП: 4 890 890
Ник: RequieM Bank | Убийства T4: 122 096 | Убийства T5: 12 288 | Всего убийств (T4+T5): 134 384 | Смерти T4: 109 990 | Смерти T5: 0 | Всего смертей (T4+T5): 109 990 | Вылечено:  | ДКП: 4 766 420
Ник: 阴阳 rayquaza | Убийства T4: 303 919 | Убийства T5: 0 | Всего убийств (T4+T5): 303 919 | Смерти T4: 42 811 | Смерти T5: 0 | Всего смертей (T4+T5): 42 811 | Вылечено:  | ДКП: 4 323 520
Ник: ParaDOX不屈01 | Убийства T4: 119 293 | Убийства T5: 54 342 | Всего убийств (T4+T5): 173 635 | Смерти T4: 6 725 | Смерти T5: 0 | Всего смертей (T4+T5): 6 725 | Вылечено:  | ДКП: 2 481 520
Ник: ᴳᴮYODA Noel | Убийства T4: 3 808 | Убийства T5: 103 | Всего убийств (T4+T5): 3 911 | Смерти T4: 39 468 | Смерти T5: 0 | Всего смертей (T4+T5): 39 468 | Вылечено:  | ДКП: 1 224 180
Ник: PALIOS | Убийства T4: 7 188 | Убийства T5: 217 | Всего убийств (T4+T5): 7 405 | Смерти T4: 30 675 | Смерти T5: 0 | Всего смертей (T4+T5): 30 675 | Вылечено:  | ДКП: 996 470
Ник: Samurai不屈01 | Убийства T4: 54 878 | Убийства T5: 20 639 | Всего убийств (T4+T5): 75 517 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 961 560
Ник: Someone55 | Убийства T4: 83 972 | Убийства T5: 3 214 | Всего убийств (T4+T5): 87 186 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 904 000
Ник: 不屈01IRAQY | Убийства T4: 27 857 | Убийства T5: 18 436 | Всего убийств (T4+T5): 46 293 | Смерти T4: 8 416 | Смерти T5: 0 | Всего смертей (T4+T5): 8 416 | Вылечено:  | ДКП: 899 770
Ник: 阴阳 Lucifer | Убийства T4: 4 800 | Убийства T5: 0 | Всего убийств (T4+T5): 4 800 | Смерти T4: 24 819 | Смерти T5: 0 | Всего смертей (T4+T5): 24 819 | Вылечено:  | ДКП: 792 570
Ник: OSMANLI不屈01 | Убийства T4: 59 387 | Убийства T5: 8 806 | Всего убийств (T4+T5): 68 193 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 769 990
Ник: Mèovɴ不屈01 | Убийства T4: 71 565 | Убийства T5: 998 | Всего убийств (T4+T5): 72 563 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 735 610
Ник: Regent不屈01 | Убийства T4: 17 053 | Убийства T5: 15 585 | Всего убийств (T4+T5): 32 638 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 482 230
Ник: OKメPollo | Убийства T4: 25 382 | Убийства T5: 10 355 | Всего убийств (T4+T5): 35 737 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 460 920
Ник: 不屈 janyF1 | Убийства T4: 35 147 | Убийства T5: 0 | Всего убийств (T4+T5): 35 147 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 351 470
Ник: RequieM Farm2 | Убийства T4: 31 165 | Убийства T5: 0 | Всего убийств (T4+T5): 31 165 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 311 650
Ник: Sibil 不屈01 | Убийства T4: 30 292 | Убийства T5: 0 | Всего убийств (T4+T5): 30 292 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 302 920
Ник: RequieM Farm1 | Убийства T4: 29 486 | Убийства T5: 0 | Всего убийств (T4+T5): 29 486 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 294 860
Ник: 阴阳 bamboune | Убийства T4: 27 360 | Убийства T5: 0 | Всего убийств (T4+T5): 27 360 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 273 600
Ник: RequieM Farm4 | Убийства T4: 25 719 | Убийства T5: 0 | Всего убийств (T4+T5): 25 719 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 257 190
Ник: ᵂᵀ knıgħt | Убийства T4: 23 086 | Убийства T5: 256 | Всего убийств (T4+T5): 23 342 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 235 980
Ник: 阴阳Frenᵀʳ | Убийства T4: 21 577 | Убийства T5: 0 | Всего убийств (T4+T5): 21 577 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 215 770
Ник: Èrebo Farm メ | Убийства T4: 19 980 | Убийства T5: 0 | Всего убийств (T4+T5): 19 980 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 199 800
Ник: 诺CieLFarm ツ | Убийства T4: 12 817 | Убийства T5: 0 | Всего убийств (T4+T5): 12 817 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 128 170
Ник: 阴阳chelangas | Убийства T4: 12 197 | Убийства T5: 0 | Всего убийств (T4+T5): 12 197 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 121 970
Ник: 阴阳 Reggie | Убийства T4: 11 975 | Убийства T5: 0 | Всего убийств (T4+T5): 11 975 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 119 750
Ник: 阴阳 Overlord | Убийства T4: 6 932 | Убийства T5: 0 | Всего убийств (T4+T5): 6 932 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 69 320
Ник: 阴阳9 | Убийства T4: 6 823 | Убийства T5: 0 | Всего убийств (T4+T5): 6 823 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 68 230
Ник: 阴阳 Pedro | Убийства T4: 6 797 | Убийства T5: 0 | Всего убийств (T4+T5): 6 797 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 67 970
Ник: 阴阳 | Убийства T4: 5 532 | Убийства T5: 0 | Всего убийств (T4+T5): 5 532 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 55 320
Ник: 阴阳1 | Убийства T4: 3 857 | Убийства T5: 0 | Всего убийств (T4+T5): 3 857 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 38 570
Ник: 阴阳 Hamzawi | Убийства T4: 3 077 | Убийства T5: 0 | Всего убийств (T4+T5): 3 077 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 30 770
Ник: kemal10 | Убийства T4: 2 966 | Убийства T5: 0 | Всего убийств (T4+T5): 2 966 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 29 660
Ник: Ninja Turtle 6 | Убийства T4: 2 884 | Убийства T5: 0 | Всего убийств (T4+T5): 2 884 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 28 840
Ник: 阴阳 MoqoyF4 | Убийства T4: 2 791 | Убийства T5: 0 | Всего убийств (T4+T5): 2 791 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 27 910
Ник: 阴阳İsevinis | Убийства T4: 2 314 | Убийства T5: 0 | Всего убийств (T4+T5): 2 314 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 23 140
Ник: 阴阳 Reggie f | Убийства T4: 1 372 | Убийства T5: 0 | Всего убийств (T4+T5): 1 372 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 13 720
Ник: ˢᵈRagnarFarm | Убийства T4: 1 153 | Убийства T5: 0 | Всего убийств (T4+T5): 1 153 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 11 530
Ник: Kaneki01FARM | Убийства T4: 776 | Убийства T5: 0 | Всего убийств (T4+T5): 776 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 7 760
Ник: Kaneki02FARM | Убийства T4: 320 | Убийства T5: 0 | Всего убийств (T4+T5): 320 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 3 200
Ник: Ninja Turtle 5 | Убийства T4: 278 | Убийства T5: 0 | Всего убийств (T4+T5): 278 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 2 780
Ник: Ninja Turtle 4 | Убийства T4: 23 | Убийства T5: 0 | Всего убийств (T4+T5): 23 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 230
Ник: Ninja Turtle 7 | Убийства T4: 10 | Убийства T5: 0 | Всего убийств (T4+T5): 10 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 100
Ник: ˢᵈpowerless | Убийства T4: 0 | Убийства T5: 0 | Всего убийств (T4+T5): 0 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 0
Ник: ᴳˢ Geniuszt | Убийства T4: 0 | Убийства T5: 0 | Всего убийств (T4+T5): 0 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 0
Ник: gấu 不屈01 | Убийства T4: 0 | Убийства T5: 0 | Всего убийств (T4+T5): 0 | Смерти T4: 0 | Смерти T5: 0 | Всего смертей (T4+T5): 0 | Вылечено:  | ДКП: 0
